SampleID	nfcore_FRIP	Arch150bpConsensus_FRIP	Arch150bpConsensus_reciprocalFRIP	Library_ATAC	DataSet	Publication	BiologicalReplicate	TechnicalReplicate	NumCellsAssay	Tissue	Tumor	NumTumorCells	DayAdoptiveTransferCD8	NumCD8Transfer	Infection	PFU	DayHarvested	TCR	Retrovirus	Phenotype	Setting	MouseStrain	Age	Background	Treatment4GroupLabel	Treatment	Dysfunction	SelectionMethod	nfcore_bam_path	tn5_adjusted_bed_path	sample_basename	archr_peak_group
SB2016_exhausted_1	0.270206	0.25154	3.975510853	Paired	GSE88987	ScottBrowne2016	1	1		Spleen	NA	NA	NA	NA	LCMV-cl13	3000000	20	Endogenous		Terminal	Infection	C57BL/6	6-10weeks	B6	None	NA	Y	Live_CD8+_H2Db-GP33tet+_CD44+_PD1+_TIM3+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2016_exhausted_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2016_exhausted_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2016_exhausted_1_ATAC_REP1.mLb.clN	ScottBrowne2016_Terminal_Infection_None
SB2016_memory_1	0.163755	0.16022	6.24141805	Paired	GSE88987	ScottBrowne2016	1	1		Spleen	NA	NA	NA	NA	LCMV-arm5	200000	35	Endogenous		Memory	Infection	C57BL/6	6-10weeks	B6	None	NA	N	Live_CD8+_H2Db-GP33tet+_CD44+_Il7Ra+_KLRG1-	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2016_memory_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2016_memory_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2016_memory_1_ATAC_REP1.mLb.clN	ScottBrowne2016_Memory_Infection_None
SB2016_memory_2	0.305282	0.280725	3.562205005	Paired	GSE88987	ScottBrowne2016	2	1		Spleen	NA	NA	NA	NA	LCMV-arm5	200000	35	Endogenous		Memory	Infection	C57BL/6	6-10weeks	B6	None	NA	N	Live_CD8+_H2Db-GP33tet+_CD44+_Il7Ra+_KLRG1-	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2016_memory_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2016_memory_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2016_memory_2_ATAC_REP1.mLb.clN	ScottBrowne2016_Memory_Infection_None
SB2016_naive_1	0.385376	0.341201	2.930823767	Paired	GSE88987	ScottBrowne2016	1	1		Spleen	NA	NA	NA	NA	none	NA		Endogenous		Naive	Native	C57BL/6	6-10weeks	B6	None	NA	N	Live_CD8+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2016_naive_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2016_naive_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2016_naive_1_ATAC_REP1.mLb.clN	ScottBrowne2016_Naive_Native_None
SB2016_naive_2	0.197655	0.199677	5.008088062	Paired	GSE88987	ScottBrowne2016	2	1		Spleen	NA	NA	NA	NA	none	NA		Endogenous		Naive	Native	C57BL/6	6-10weeks	B6	None	NA	N	Live_CD8+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2016_naive_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2016_naive_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2016_naive_2_ATAC_REP1.mLb.clN	ScottBrowne2016_Naive_Native_None
SB2019_CART_Progenitor_1	0.348051	0.311251	3.212841083	Paired	GSE123739	ScottBrowne2019	1	1		Tumor	B16-OVA-huCD19	500000	13	1500000	none	NA	21	CAR		Progenitor	Tumor	C57BL/6	8-12weeks	B6	None	NA	Y	CD8+_CD45.1+_Thy1.1+_PD1hi_TIM3lo_CAR	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2019_CART_Progenitor_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2019_CART_Progenitor_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2019_CART_Progenitor_1_ATAC_REP1.mLb.clN	ScottBrowne2019_Progenitor_Tumor_None
SB2019_CART_Progenitor_2	0.381366	0.323109	3.094930813	Paired	GSE123739	ScottBrowne2019	2	1		Tumor	B16-OVA-huCD19	500000	13	1500000	none	NA	21	CAR		Progenitor	Tumor	C57BL/6	8-12weeks	B6	None	NA	Y	CD8+_CD45.1+_Thy1.1+_PD1hi_TIM3lo_CAR	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2019_CART_Progenitor_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2019_CART_Progenitor_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2019_CART_Progenitor_2_ATAC_REP1.mLb.clN	ScottBrowne2019_Progenitor_Tumor_None
SB2019_CART_Terminal_1	0.302668	0.258179	3.873281715	Paired	GSE123739	ScottBrowne2019	1	1		Tumor	B16-OVA-huCD19	500000	13	1500000	none	NA	21	CAR		Terminal	Tumor	C57BL/6	8-12weeks	B6	None	NA	Y	CD8+_CD45.1+_Thy1.1+_PD1hi_TIM3h_CAR	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2019_CART_Terminal_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2019_CART_Terminal_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2019_CART_Terminal_1_ATAC_REP1.mLb.clN	ScottBrowne2019_Terminal_Tumor_None
SB2019_CART_Terminal_2	0.184724	0.163336	6.122349023	Paired	GSE123739	ScottBrowne2019	2	1		Tumor	B16-OVA-huCD19	500000	13	1500000	none	NA	21	CAR		Terminal	Tumor	C57BL/6	8-12weeks	B6	None	NA	Y	CD8+_CD45.1+_Thy1.1+_PD1hi_TIM3h_CAR	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2019_CART_Terminal_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2019_CART_Terminal_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2019_CART_Terminal_2_ATAC_REP1.mLb.clN	ScottBrowne2019_Terminal_Tumor_None
SB2019_CART_Terminal_3	0.363621	0.327374	3.054610323	Paired	GSE123739	ScottBrowne2019	3	1		Tumor	B16-OVA-huCD19	500000	13	1500000	none	NA	21	CAR		Terminal	Tumor	C57BL/6	8-12weeks	B6	None	NA	Y	CD8+_CD45.1+_Thy1.1+_PD1hi_TIM3h_CAR	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2019_CART_Terminal_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2019_CART_Terminal_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2019_CART_Terminal_3_ATAC_REP1.mLb.clN	ScottBrowne2019_Terminal_Tumor_None
SB2019_ENDO_Naive_1	0.337443	0.295206	3.387465024	Paired	GSE123739	ScottBrowne2019	1	1		Tumor	B16-OVA-huCD19	500000	NA	NA	none	NA	21	Endogenous		Naive	Tumor	C57BL/6	8-12weeks	B6	None	NA	N	CD8+_CD45.1-_Thy1.1-_PD1lo_TIM3lo	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2019_ENDO_Naive_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2019_ENDO_Naive_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2019_ENDO_Naive_1_ATAC_REP1.mLb.clN	ScottBrowne2019_Naive_Tumor_None
SB2019_ENDO_Naive_3	0.364537	0.314765	3.176973298	Paired	GSE123739	ScottBrowne2019	3	1		Tumor	B16-OVA-huCD19	500000	NA	NA	none	NA	21	Endogenous		Naive	Tumor	C57BL/6	8-12weeks	B6	None	NA	N	CD8+_CD45.1-_Thy1.1-_PD1lo_TIM3lo	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2019_ENDO_Naive_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2019_ENDO_Naive_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2019_ENDO_Naive_3_ATAC_REP1.mLb.clN	ScottBrowne2019_Naive_Tumor_None
SB2019_ENDO_Progenitor_1	0.331526	0.306338	3.264368116	Paired	GSE123739	ScottBrowne2019	1	1		Tumor	B16-OVA-huCD19	500000	NA	NA	none	NA	21	Endogenous		Progenitor	Tumor	C57BL/6	8-12weeks	B6	None	NA	Y	CD8+_CD45.1-_Thy1.1-_PD1hi_TIM3lo	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2019_ENDO_Progenitor_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2019_ENDO_Progenitor_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2019_ENDO_Progenitor_1_ATAC_REP1.mLb.clN	ScottBrowne2019_Progenitor_Tumor_None
SB2019_ENDO_Progenitor_2	0.336223	0.306407	3.263633011	Paired	GSE123739	ScottBrowne2019	2	1		Tumor	B16-OVA-huCD19	500000	NA	NA	none	NA	21	Endogenous		Progenitor	Tumor	C57BL/6	8-12weeks	B6	None	NA	Y	CD8+_CD45.1-_Thy1.1-_PD1hi_TIM3lo	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2019_ENDO_Progenitor_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2019_ENDO_Progenitor_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2019_ENDO_Progenitor_2_ATAC_REP1.mLb.clN	ScottBrowne2019_Progenitor_Tumor_None
SB2019_ENDO_Progenitor_3	0.37877	0.320365	3.121439608	Paired	GSE123739	ScottBrowne2019	3	1		Tumor	B16-OVA-huCD19	500000	NA	NA	none	NA	21	Endogenous		Progenitor	Tumor	C57BL/6	8-12weeks	B6	None	NA	Y	CD8+_CD45.1-_Thy1.1-_PD1hi_TIM3lo	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2019_ENDO_Progenitor_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2019_ENDO_Progenitor_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2019_ENDO_Progenitor_3_ATAC_REP1.mLb.clN	ScottBrowne2019_Progenitor_Tumor_None
SB2019_ENDO_Terminal_1	0.322708	0.282066	3.545269547	Paired	GSE123739	ScottBrowne2019	1	1		Tumor	B16-OVA-huCD19	500000	NA	NA	none	NA	21	Endogenous		Terminal	Tumor	C57BL/6	8-12weeks	B6	None	NA	Y	CD8+_CD45.1-_Thy1.1-_PD1hi_TIM3hi	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2019_ENDO_Terminal_1_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2019_ENDO_Terminal_1_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2019_ENDO_Terminal_1_ATAC_REP1.mLb.clN	ScottBrowne2019_Terminal_Tumor_None
SB2019_ENDO_Terminal_2	0.40448	0.350469	2.853319409	Paired	GSE123739	ScottBrowne2019	2	1		Tumor	B16-OVA-huCD19	500000	NA	NA	none	NA	21	Endogenous		Terminal	Tumor	C57BL/6	8-12weeks	B6	None	NA	Y	CD8+_CD45.1-_Thy1.1-_PD1hi_TIM3hi	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2019_ENDO_Terminal_2_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2019_ENDO_Terminal_2_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2019_ENDO_Terminal_2_ATAC_REP1.mLb.clN	ScottBrowne2019_Terminal_Tumor_None
SB2019_ENDO_Terminal_3	0.42228	0.378576	2.641477537	Paired	GSE123739	ScottBrowne2019	3	1		Tumor	B16-OVA-huCD19	500000	NA	NA	none	NA	21	Endogenous		Terminal	Tumor	C57BL/6	8-12weeks	B6	None	NA	Y	CD8+_CD45.1-_Thy1.1-_PD1hi_TIM3hi	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/SB2019_ENDO_Terminal_3_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/SB2019_ENDO_Terminal_3_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	SB2019_ENDO_Terminal_3_ATAC_REP1.mLb.clN	ScottBrowne2019_Terminal_Tumor_None
TIL_Bulk_C1_Slam	0.393341	0.336787	2.969235748	Paired	GSE122713	Miller2019	1	1	5,000–50,000	Tumor	B16-OVA	300000	NA	NA	none	NA	22	Endogenous		Progenitor	Tumor	C57BL/6		B6	IgG2a_Control	IP 100mcg Rat IgG2a isotype control antibody on days 9 and 12	Y	Live_Slamf6+Tim3-SIINFEKL Tetramer+ CD44+PD-1+CD8+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/TIL_Bulk_C1_Slam_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/TIL_Bulk_C1_Slam_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	TIL_Bulk_C1_Slam_ATAC_REP1.mLb.clN	Miller2019_Progenitor_Tumor_IgG2a_Control
TIL_Bulk_C1_TIM	0.403207	0.333609	2.99752105	Paired	GSE122713	Miller2019	1	1	5,000–50,000	Tumor	B16-OVA	300000	NA	NA	none	NA	22	Endogenous		Terminal	Tumor	C57BL/6		B6	IgG2a_Control	IP 100mcg Rat IgG2a isotype control antibody on days 9 and 12	Y	Live_Slamf6-Tim3+SIINFEKL Tetramer+ CD44+PD-1+CD8+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/TIL_Bulk_C1_TIM_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/TIL_Bulk_C1_TIM_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	TIL_Bulk_C1_TIM_ATAC_REP1.mLb.clN	Miller2019_Terminal_Tumor_IgG2a_Control
TIL_Bulk_C2_Slam	0.393006	0.33018	3.028651039	Paired	GSE122713	Miller2019	2	1	5,000–50,000	Tumor	B16-OVA	300000	NA	NA	none	NA	22	Endogenous		Progenitor	Tumor	C57BL/6		B6	IgG2a_Control	IP 100mcg Rat IgG2a isotype control antibody on days 9 and 12	Y	Live_Slamf6+Tim3-SIINFEKL Tetramer+ CD44+PD-1+CD8+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/TIL_Bulk_C2_Slam_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/TIL_Bulk_C2_Slam_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	TIL_Bulk_C2_Slam_ATAC_REP1.mLb.clN	Miller2019_Progenitor_Tumor_IgG2a_Control
TIL_Bulk_C2_TIM	0.19808	0.161446	6.19402153	Paired	GSE122713	Miller2019	2	1	5,000–50,000	Tumor	B16-OVA	300000	NA	NA	none	NA	22	Endogenous		Terminal	Tumor	C57BL/6		B6	IgG2a_Control	IP 100mcg Rat IgG2a isotype control antibody on days 9 and 12	Y	Live_Slamf6-Tim3+SIINFEKL Tetramer+ CD44+PD-1+CD8+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/TIL_Bulk_C2_TIM_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/TIL_Bulk_C2_TIM_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	TIL_Bulk_C2_TIM_ATAC_REP1.mLb.clN	Miller2019_Terminal_Tumor_IgG2a_Control
TIL_Bulk_P1_Slam	0.33781	0.297275	3.363888655	Paired	GSE122713	Miller2019	1	1	5,000–50,000	Tumor	B16-OVA	300000	NA	NA	none	NA	22	Endogenous		Progenitor	Tumor	C57BL/6		B6	anti-PD1	IP 100mcg anti-PD-1 on days 9 and 12	Y	Live_Slamf6+Tim3-SIINFEKL Tetramer+ CD44+PD-1+CD8+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/TIL_Bulk_P1_Slam_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/TIL_Bulk_P1_Slam_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	TIL_Bulk_P1_Slam_ATAC_REP1.mLb.clN	Miller2019_Progenitor_Tumor_anti-PD1
TIL_Bulk_P1_TIM	0.368934	0.31181	3.207081235	Paired	GSE122713	Miller2019	1	1	5,000–50,000	Tumor	B16-OVA	300000	NA	NA	none	NA	22	Endogenous		Terminal	Tumor	C57BL/6		B6	anti-PD1	IP 100mcg anti-PD-1 on days 9 and 12	Y	Live_Slamf6-Tim3+SIINFEKL Tetramer+ CD44+PD-1+CD8+ 	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/TIL_Bulk_P1_TIM_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/TIL_Bulk_P1_TIM_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	TIL_Bulk_P1_TIM_ATAC_REP1.mLb.clN	Miller2019_Terminal_Tumor_anti-PD1
TIL_Bulk_P2_Slam	0.293182	0.245602	4.071628081	Paired	GSE122713	Miller2019	2	1	5,000–50,000	Tumor	B16-OVA	300000	NA	NA	none	NA	22	Endogenous		Progenitor	Tumor	C57BL/6		B6	anti-PD1	IP 100mcg anti-PD-1 on days 9 and 12	Y	Live_Slamf6+Tim3-SIINFEKL Tetramer+ CD44+PD-1+CD8+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/TIL_Bulk_P2_Slam_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/TIL_Bulk_P2_Slam_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	TIL_Bulk_P2_Slam_ATAC_REP1.mLb.clN	Miller2019_Progenitor_Tumor_anti-PD1
TIL_Bulk_P2_TIM	0.520619	0.436961	2.288533759	Paired	GSE122713	Miller2019	2	1	5,000–50,000	Tumor	B16-OVA	300000	NA	NA	none	NA	22	Endogenous		Terminal	Tumor	C57BL/6		B6	anti-PD1	IP 100mcg anti-PD-1 on days 9 and 12	Y	Live_Slamf6-Tim3+SIINFEKL Tetramer+ CD44+PD-1+CD8+	/Scottbrowne/seq/tmp/SD030/nfcore_outs/atac/bowtie2/merged_library/TIL_Bulk_P2_TIM_ATAC_REP1.mLb.clN.sorted.bam	/Scottbrowne/seq/tmp/devoes/SD030/macs2_bed/bed/TIL_Bulk_P2_TIM_ATAC_REP1.mLb.clN.tn5.tagAlign.gzip	TIL_Bulk_P2_TIM_ATAC_REP1.mLb.clN	Miller2019_Terminal_Tumor_anti-PD1
